accuracy,loss,val_accuracy,val_loss,learning_rate
0.2573409080505371,1.7919219732284546,0.24993033707141876,2.451169490814209,0.0010000000474974513
0.33790796995162964,1.6565190553665161,0.35998886823654175,1.828791618347168,0.0010000000474974513
0.40287017822265625,1.5328068733215332,0.3702981472015381,1.616668462753296,0.0010000000474974513
0.43216413259506226,1.472300410270691,0.40707719326019287,1.4889979362487793,0.0010000000474974513
0.45257583260536194,1.4236661195755005,0.45667317509651184,1.3935112953186035,0.0010000000474974513
0.4667525887489319,1.3908114433288574,0.46363890171051025,1.4089690446853638,0.0010000000474974513
0.4838552474975586,1.3587019443511963,0.49400946497917175,1.3011019229888916,0.0010000000474974513
0.4912048578262329,1.3314236402511597,0.5207578539848328,1.2505531311035156,0.0010000000474974513
0.5014804005622864,1.3133635520935059,0.5238227844238281,1.226467490196228,0.0010000000474974513
0.5078198313713074,1.2942630052566528,0.4310392737388611,1.4593991041183472,0.0010000000474974513
0.51715487241745,1.2774521112442017,0.5218724012374878,1.2609045505523682,0.0010000000474974513
0.5263506174087524,1.2605606317520142,0.5553078651428223,1.154205322265625,0.0010000000474974513
0.5314709544181824,1.2426713705062866,0.5383114814758301,1.1999436616897583,0.0010000000474974513
0.5347800254821777,1.2389190196990967,0.5371969938278198,1.180031657218933,0.0010000000474974513
0.5430352687835693,1.2247774600982666,0.5603232383728027,1.1669453382492065,0.0010000000474974513
0.546170175075531,1.2121448516845703,0.5514070987701416,1.1675301790237427,0.0010000000474974513
0.5506287217140198,1.2034845352172852,0.5603232383728027,1.1633203029632568,0.0010000000474974513
0.5658156275749207,1.1733894348144531,0.5619949698448181,1.1454824209213257,0.0005000000237487257
0.5663729310035706,1.1617220640182495,0.5672889351844788,1.1609588861465454,0.0005000000237487257
0.5696123242378235,1.156755805015564,0.5940373539924622,1.0997357368469238,0.0005000000237487257
0.5703437924385071,1.1558887958526611,0.5608804821968079,1.171383261680603,0.0005000000237487257
0.5764046311378479,1.1412733793258667,0.5856784582138062,1.1111679077148438,0.0005000000237487257
0.5796788334846497,1.133344054222107,0.5778768658638,1.1203840970993042,0.0005000000237487257
0.5790518522262573,1.1342177391052246,0.5689607262611389,1.1505920886993408,0.0005000000237487257
0.5805844664573669,1.1307097673416138,0.584006667137146,1.0995285511016846,0.0005000000237487257
