epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2597443163394928,0.0010000000474974513,1.796699047088623,0.34020617604255676,1.6557101011276245
1,0.364067018032074,0.0010000000474974513,1.6202468872070312,0.44190582633018494,1.4745858907699585
2,0.4194503426551819,0.0010000000474974513,1.5129942893981934,0.47199776768684387,1.3875690698623657
3,0.44414642453193665,0.0010000000474974513,1.4430400133132935,0.49317359924316406,1.340277910232544
4,0.4658469557762146,0.0010000000474974513,1.3966697454452515,0.507662296295166,1.3011090755462646
5,0.4843777120113373,0.0010000000474974513,1.3500474691390991,0.5118417143821716,1.2684110403060913
6,0.49294647574424744,0.0010000000474974513,1.3297171592712402,0.5246586799621582,1.2425342798233032
7,0.5057995915412903,0.0010000000474974513,1.3050692081451416,0.5263304710388184,1.2255239486694336
8,0.5167717337608337,0.0010000000474974513,1.2749933004379272,0.5352466106414795,1.2180269956588745
9,0.5221707224845886,0.0010000000474974513,1.2569674253463745,0.5369183421134949,1.2023556232452393
10,0.5319586396217346,0.0010000000474974513,1.2361682653427124,0.5344107151031494,1.1955300569534302
11,0.5362778306007385,0.0010000000474974513,1.2212142944335938,0.5444413423538208,1.181062936782837
12,0.5416768193244934,0.0010000000474974513,1.2066634893417358,0.5472276210784912,1.170244812965393
13,0.5459263920783997,0.0010000000474974513,1.1878917217254639,0.5555865168571472,1.1602612733840942
14,0.5536242723464966,0.0010000000474974513,1.1769084930419922,0.5544719696044922,1.1555906534194946
15,0.5579086542129517,0.0010000000474974513,1.1697666645050049,0.5514070987701416,1.1605324745178223
16,0.5619143843650818,0.0010000000474974513,1.152474045753479,0.5569796562194824,1.1440218687057495
17,0.5677661895751953,0.0010000000474974513,1.1402909755706787,0.5636667609214783,1.1393356323242188
18,0.5711101293563843,0.0010000000474974513,1.1313122510910034,0.5653385519981384,1.1328529119491577
19,0.5742101669311523,0.0010000000474974513,1.1185662746429443,0.5586514472961426,1.141204595565796
20,0.5786687135696411,0.0010000000474974513,1.110770344734192,0.5658957958221436,1.1291252374649048
21,0.5801665186882019,0.0010000000474974513,1.1029884815216064,0.5661744475364685,1.128714680671692
22,0.5898846983909607,0.0010000000474974513,1.0869897603988647,0.5728614926338196,1.1176035404205322
23,0.5902330279350281,0.0010000000474974513,1.0833888053894043,0.5700752139091492,1.1278504133224487
24,0.5921139717102051,0.0010000000474974513,1.0758616924285889,0.5709111094474792,1.117724895477295
