Model,Test Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Test Loss
Baseline CNN,0.5881861242685985,0.5912180547579707,0.5210859794710391,0.5303733673280931,0.5730548072452412,1.1067087650299072
Improved CNN + Class Weights,0.5252159375870716,0.44398756552768004,0.48959661780768954,0.4439075090727836,0.49477367508699766,1.2127561569213867
Improved CNN No Class Weights,0.5976595151852884,0.4854706393759672,0.5027192478716777,0.4869591848107603,0.5811348890418848,1.0636374950408936
